KICID,numax,numax_err,dnu,dnu_err,Yu_Teff,Yu_Teff_err,ra,dec,parallax,parallax_error,GAIAmag,Ag,e_GAIAmag,Kmag,e_Kmag,ccd,b17,Ebv,Aks,Z,Teff,Teff_err,M_Clump,M_Clump_err,R_Clump,R_Clump_err,A_numax,A_numax_err,A_dnu,A_dnu_err,A_fdnu,A_fdnu_err,[Fe/H],Log Age
7949599,34.02,0.92,4.126,0.026,4800,100,287.77565145818926,43.77182092743343,0.9441367325290518,0.028599400685258094,10.982096,0.1927,0.01,8.658,0.014,11,0.03143068,0.027658999,0.0050603393,0.029142346094603564,4646.4,67.8,1.17,0.11,10.78,0.37,33.705,0.009,4.1,0.015,1.0035,0.0079,0.22,3.74
7955856,33.51,0.72,3.965,0.022,4712,80,290.36997897954916,43.764064795535404,0.3247272167900419,0.024835845618687104,12.793678,0.1063,0.01,10.424000000000001,0.011,10,0.07524961,0.06621966,0.012115187,0.022106730231105574,4723.8,71.3,1.28,0.1,11.42,0.33,32.673,0.016,3.969,0.008,0.9991,0.0135,0.1,3.63
7957822,29.15,0.58,3.899,0.047,4823,80,291.03702920521414,43.731505587841184,0.3304673696274445,0.022181275475762444,12.851951,0.23600000000000002,0.01,10.594000000000001,0.012,10,0.059557512,0.05241061,0.009588759,0.01034009458804414,4875.0,84.4,0.92,0.08,10.35,0.37,29.513,0.009,3.88,0.012,0.9857,0.0357,-0.23,3.68
7960031,23.22,0.55,2.9330000000000003,0.046,4590,80,291.80532728372026,43.767348144333866,0.4296637372660263,0.01865508924254856,12.056211,0.516,0.01,9.513,0.015,10,0.081582405,0.07179251,0.013134767,0.02982115853722823,4583.9,65.2,1.36,0.14,14.26,0.61,24.064,0.015,2.913,0.005,1.0231,0.0166,0.23,3.521
7968120,36.99,0.53,4.364,0.052000000000000005,4931,80,294.60691772307166,43.74495967940034,0.3554110629961181,0.028801880075448923,12.773961,0.0697,0.01,10.455,0.014,14,0.105708644,0.093023606,0.017019091,0.01133768826184855,4942.3,87.8,1.26,0.1,10.65,0.34,36.759,0.009,4.312,0.016,1.0003,0.0135,-0.19,3.463
7975969,35.82,0.58,4.157,0.042,4775,80,296.9699132992024,43.76818765180221,0.6236421439021926,0.02470200990204297,11.77612,0.341,0.01,9.316,0.016,14,0.15602273,0.1373,0.025119659,0.01756,4771.7,73.6,1.32,0.1,11.19,0.34,35.693,0.009,4.18,0.015,1.0001,0.0076,0.0,3.528
7976420,45.08,0.87,4.772,0.022,4909,80,297.0923951021601,43.75268290140057,0.5808197425558957,0.0418206340027554,12.271522000000001,0.2363,0.01,9.88,0.017,14,0.17614636,0.1550088,0.028359564,0.02314858832905051,4869.4,77.8,1.59,0.12,10.86,0.29,45.095,0.012,4.722,0.011,0.9989,0.0122,0.12,3.27
8005116,38.16,0.76,4.2,0.023,4748,80,280.42659865417403,43.84042225927382,0.6179816657806593,0.02013326671774436,11.5955715,0.226,0.01,9.254,0.02,7,0.057474557,0.05057761,0.009253404,0.03122658644028348,4703.2,70.2,1.52,0.12,11.66,0.33,38.228,0.017,4.161,0.008,1.0008,0.0321,0.25,3.345
8006058,37.48,0.51,4.283,0.037000000000000005,4826,80,281.0782639778968,43.867382711730365,0.7407921298506331,0.02512801942388566,10.997617,0.065,0.01,8.825,0.011,7,0.04375948,0.03850834,0.0070452765,0.010104725299640476,4833.3,76.9,1.36,0.09,11.08,0.3,37.201,0.009,4.275,0.011,0.9933,0.0187,-0.24,3.384
8019020,26.8,0.47,4.023,0.047,4782,80,288.0730732891304,43.840190692324136,0.37617833005338897,0.02415042015184435,12.465183999999999,0.059000000000000004,0.01,10.224,0.014,11,0.056352995,0.049590635999999993,0.009072832,0.009005845902888367,4780.2,79.7,0.64,0.05,8.98,0.3,27.781,0.04,3.863,0.015,0.9912,0.0168,-0.29,3.898
